iter	Logloss
0	0.6201607412
1	0.5619791011
2	0.5121281731
3	0.4793692754
4	0.4549683631
5	0.4334320599
6	0.414309904
7	0.3999604192
8	0.3890846677
9	0.3770432162
10	0.3702218015
11	0.3621668817
12	0.3559429014
13	0.3511341086
14	0.3466679897
15	0.3412017577
16	0.337305064
17	0.3347920009
18	0.3307609993
19	0.3278277061
20	0.3255508586
21	0.3215172255
22	0.3189715696
23	0.3169515343
24	0.3149152192
25	0.3122843875
26	0.3100079641
27	0.3080935955
28	0.3064929601
29	0.3049253224
30	0.3027694395
31	0.3017449053
32	0.2987174613
33	0.2975698937
34	0.2967007779
35	0.2958366538
36	0.2945996542
37	0.2925118656
38	0.2911744018
39	0.2894188528
40	0.2886322297
41	0.2876117484
42	0.2857499737
43	0.2845464336
44	0.2833759087
45	0.2822035211
46	0.2811252207
47	0.2804468967
48	0.2796905851
49	0.2787643727
50	0.2780984283
51	0.2769263019
52	0.2757369652
53	0.2750017303
54	0.2730240646
55	0.271486541
56	0.2702193654
57	0.2693751309
58	0.2687921451
59	0.2677596685
60	0.2670989718
61	0.265460191
62	0.2648570955
63	0.2637037753
64	0.2632988103
65	0.2616684141
66	0.2614177074
67	0.2604300083
68	0.2599287598
69	0.2590906134
70	0.2582828545
71	0.2574839266
72	0.2571551668
73	0.2565116692
74	0.2560487167
75	0.2552438013
76	0.2543036784
77	0.2534167133
78	0.2530839076
79	0.2528783671
80	0.2522177181
81	0.2516961549
82	0.2511475213
83	0.2502979347
84	0.2493672249
85	0.2489947629
86	0.248528117
87	0.2481062361
88	0.2475961965
89	0.2465189383
90	0.2462228215
91	0.2453362969
92	0.2451128365
93	0.2440070637
94	0.2430779952
95	0.2425363752
96	0.2422465603
97	0.2415574119
98	0.2413641792
99	0.2406843236
100	0.2402024463
101	0.2399570647
102	0.2394535908
103	0.2386338949
104	0.2384942051
105	0.2379167079
106	0.2375957864
107	0.2373780426
108	0.2363319386
109	0.2360379133
110	0.235901846
111	0.2352712474
112	0.2345650779
113	0.2343109768
114	0.2338835108
115	0.2333031895
116	0.2326330139
117	0.2322579026
118	0.2317424571
119	0.2311790279
120	0.2307450517
121	0.2300425794
122	0.2292771403
123	0.2288675263
124	0.2286139341
125	0.2282201232
126	0.2276805638
127	0.2272966004
128	0.225743224
129	0.2251661793
130	0.2242931098
131	0.2236509122
132	0.2225439525
133	0.2217354007
134	0.2212772132
135	0.2205047536
136	0.2199257072
137	0.2187664957
138	0.2179703139
139	0.2176060167
140	0.2167948885
141	0.2163018626
142	0.215094603
143	0.2146753477
144	0.2141417228
145	0.2133980808
146	0.2127286424
147	0.2115986196
148	0.2111633558
149	0.2093898528
150	0.2089003251
151	0.2077444164
152	0.206424647
153	0.2053660488
154	0.2040531498
155	0.202804244
156	0.2017548621
157	0.2012147468
158	0.2003806478
159	0.1997527147
160	0.1988060985
161	0.1980476242
162	0.1977130479
163	0.1968965038
164	0.1952900628
165	0.1939114444
166	0.1926884502
167	0.1915451349
168	0.1910671674
169	0.1905316444
170	0.1889847938
171	0.1885342216
172	0.1875163584
173	0.1865936825
174	0.1860197086
175	0.185355071
176	0.1850493678
177	0.1840279305
178	0.1829630564
179	0.1824336788
180	0.1816835931
181	0.1809655369
182	0.1805606781
183	0.1798325958
184	0.1793834965
185	0.1789706627
186	0.1785639315
187	0.1780338822
188	0.1774851857
189	0.1765998213
190	0.1761062951
191	0.1755931815
192	0.1752079754
193	0.1746982137
194	0.174510554
195	0.1737443626
196	0.1733075248
197	0.1727537655
198	0.1723561345
199	0.1716706259
200	0.1706179574
201	0.1697580989
202	0.169156237
203	0.168843787
204	0.1684772682
205	0.1680300235
206	0.1673500044
207	0.1670835675
208	0.1664873273
209	0.1657835533
210	0.1652998501
211	0.1647846736
212	0.1645359198
213	0.163710355
214	0.1632458698
215	0.1626682336
216	0.1623590745
217	0.1618242122
218	0.1612631581
219	0.1602479804
220	0.1598407164
221	0.1595268306
222	0.1592927562
223	0.158587061
224	0.1581002674
225	0.1574981159
226	0.157137108
227	0.1568539892
228	0.1563818163
229	0.1560968321
230	0.15523121
231	0.1549391544
232	0.1544085925
233	0.1539173263
234	0.1534747723
235	0.1530400363
