iter	Passed	Remaining
0	314	125362
1	685	136363
2	997	132009
3	1351	133818
4	1635	129225
5	1892	124265
6	2203	123696
7	2575	126209
8	3041	132124
9	3464	135126
10	3771	133367
11	4006	129553
12	4255	126695
13	4651	128247
14	4935	126678
15	5195	124702
16	5470	123246
17	5765	122364
18	5998	120285
19	6271	119154
20	6549	118197
21	6777	116441
22	7027	115185
23	7309	114519
24	7583	113756
25	7828	112604
26	8089	111755
27	8359	111068
28	8592	109920
29	8832	108931
30	9084	108137
31	9371	107776
32	9603	106799
33	9906	106637
34	10224	106626
35	10480	105966
36	10739	105360
37	10976	104567
38	11223	103885
39	11482	103338
40	11821	103508
41	12112	103244
42	12380	102782
43	12614	102059
44	12905	101812
45	13185	101472
46	13435	100912
47	13757	100891
48	14025	100466
49	14309	100165
50	14602	99925
51	14998	100372
52	15257	99891
53	15581	99838
54	15835	99332
55	16090	98839
56	16341	98336
57	16636	98097
58	17005	98283
59	17373	98448
60	17744	98610
61	18031	98301
62	18372	98280
63	18656	97945
64	18947	97654
65	19188	97103
66	19549	97166
67	19858	96956
68	20290	97334
69	20723	97695
70	21199	98233
71	21443	97689
72	21735	97361
73	22051	97147
74	22532	97640
75	22805	97222
76	23058	96724
77	23323	96284
78	23641	96063
79	23962	95851
80	24239	95460
81	24532	95137
82	24846	94894
83	25130	94538
84	25398	94124
85	25687	93788
86	26059	93755
87	26390	93567
88	26701	93303
89	26969	92894
90	27283	92644
91	27547	92223
92	27880	92036
93	28128	91568
94	28403	91191
95	28693	90863
96	29038	90706
97	29308	90317
98	29620	90057
99	29861	89584
100	30160	89286
101	30477	89043
102	30791	88787
103	31088	88482
104	31430	88304
105	31707	87942
106	32051	87766
107	32349	87463
108	32652	87172
109	32940	86842
110	33294	86684
111	33567	86315
112	33865	86012
113	34170	85726
114	34498	85496
115	34790	85177
116	35079	84850
117	35370	84528
118	35684	84262
119	35979	83952
120	36260	83609
121	36553	83294
122	36805	82886
123	37165	82723
124	37472	82439
125	37762	82117
126	38051	81795
127	38380	81558
128	38642	81178
129	39033	81068
130	39317	80736
131	39590	80380
132	39837	79974
133	40122	79645
134	40418	79340
135	40690	78987
136	41013	78734
137	41276	78365
138	41578	78072
139	41904	77822
140	42190	77499
141	42478	77179
142	42736	76805
143	43030	76499
144	43323	76189
145	43609	75868
146	43877	75517
147	44164	75198
148	44493	74951
149	44748	74580
150	45057	74300
151	45343	73982
152	45593	73605
153	45878	73286
154	46147	72942
155	46401	72576
156	46646	72198
157	46982	71959
158	47249	71617
159	47531	71296
160	47843	71022
161	48122	70697
162	48480	70489
163	48780	70196
164	49042	69848
165	49307	69506
166	49590	69189
167	49842	68829
168	50194	68609
169	50500	68324
170	50758	67974
171	51185	67850
172	51607	67716
173	52100	67670
174	52405	67377
175	52682	67050
176	53055	66843
177	53543	66778
178	53829	66459
179	54119	66146
180	54386	65804
181	54670	65484
182	54989	65206
183	55291	64907
184	55573	64585
185	55907	64324
186	56231	64050
187	56509	63723
188	56796	63407
189	57061	63067
190	57398	62807
191	57686	62493
192	58007	62215
193	58301	61907
194	58661	61669
195	58918	61323
196	59187	60990
197	59463	60665
198	59779	60380
199	60101	60101
200	60381	59780
201	60666	59465
202	60984	59182
203	61349	58943
204	61667	58659
205	61971	58361
206	62353	58136
207	62800	57970
208	63359	57902
209	63671	57607
210	63994	57321
211	64268	56992
212	64736	56834
213	65000	56495
214	65271	56164
215	65518	55812
216	65854	55536
217	66136	55214
218	66427	54900
219	66715	54585
220	67014	54278
221	67315	53974
222	67651	53696
223	67917	53363
224	68184	53032
225	68473	52718
226	68792	52427
227	69192	52197
228	69501	51898
229	69817	51604
230	70073	51266
231	70386	50969
232	70671	50653
233	70967	50344
234	71256	50030
235	71525	49703
